Date,Close/Last,Volume,Open,High,Low
04/29/2025,$292.03,108906600,$285.50,$293.32,$279.47
04/28/2025,$285.88,151731800,$288.98,$294.86,$272.42
04/25/2025,$284.95,167560700,$261.69,$286.85,$259.63
04/24/2025,$259.51,94464200,$250.50,$259.54,$249.20
04/23/2025,$250.74,150381900,$254.86,$259.45,$244.43
04/22/2025,$237.97,120858500,$230.96,$242.79,$229.85
04/21/2025,$227.50,97768010,$230.26,$232.21,$222.79
04/17/2025,$241.37,83404780,$243.47,$244.34,$237.68
04/16/2025,$241.55,112378700,$247.61,$251.97,$233.89
04/15/2025,$254.11,79594320,$249.91,$258.75,$247.54
04/14/2025,$252.35,100135200,$258.36,$261.80,$245.93
04/11/2025,$252.31,128948100,$251.84,$257.74,$241.36
04/10/2025,$252.40,181722600,$260.00,$262.49,$239.33
04/09/2025,$272.20,219433400,$224.69,$274.69,$223.88
04/08/2025,$221.86,171603500,$245.00,$250.44,$217.80
04/07/2025,$233.29,183453800,$223.78,$252.00,$214.25
04/04/2025,$239.43,181229400,$255.38,$261.00,$236.00
04/03/2025,$267.28,136174300,$265.29,$276.30,$261.51
04/02/2025,$282.76,212787800,$254.60,$284.99,$251.27
04/01/2025,$268.46,146486900,$263.80,$277.45,$259.25
03/31/2025,$259.16,134008900,$249.31,$260.56,$243.36
03/28/2025,$263.55,123809400,$275.58,$276.10,$260.57
03/27/2025,$273.13,162572100,$272.48,$291.85,$271.82
03/26/2025,$272.06,156254400,$282.66,$284.90,$266.51
03/25/2025,$288.14,150361500,$283.60,$288.20,$271.28
03/24/2025,$278.39,169079900,$258.08,$278.64,$256.33
03/21/2025,$248.71,132728700,$234.99,$249.52,$234.55
03/20/2025,$236.26,99028270,$233.35,$238.00,$230.05
03/19/2025,$235.86,111993800,$231.61,$241.41,$229.20
03/18/2025,$225.31,111477600,$228.16,$230.10,$222.28
03/17/2025,$238.01,111900600,$245.06,$245.40,$232.80
03/14/2025,$249.98,100242300,$247.31,$251.58,$240.73
03/13/2025,$240.68,114813500,$248.13,$248.29,$232.60
03/12/2025,$248.09,142215700,$247.22,$251.84,$241.10
03/11/2025,$230.58,174896400,$225.31,$237.06,$217.02
03/10/2025,$222.15,189076900,$252.54,$253.37,$220.00
03/07/2025,$262.67,102369600,$259.32,$266.25,$250.73
03/06/2025,$263.45,98451570,$272.06,$272.65,$260.02
03/05/2025,$279.10,94042910,$272.92,$279.55,$267.71
03/04/2025,$272.04,126706600,$270.93,$284.35,$261.84
03/03/2025,$284.65,115551400,$300.34,$303.94,$277.30
02/28/2025,$292.98,115697000,$279.50,$293.88,$273.60
02/27/2025,$281.95,101748200,$291.16,$297.23,$280.88
02/26/2025,$290.80,100118300,$303.72,$309.00,$288.04
02/25/2025,$302.80,134228800,$327.03,$328.89,$297.25
02/24/2025,$330.53,76052320,$338.14,$342.40,$324.70
02/21/2025,$337.80,74058650,$353.44,$354.98,$334.42
02/20/2025,$354.40,45965350,$361.51,$362.30,$348.00
02/19/2025,$360.56,67094370,$354.00,$367.34,$353.67
02/18/2025,$354.11,51631700,$355.01,$359.10,$350.02
02/14/2025,$355.84,68277280,$360.62,$362.00,$347.50
02/13/2025,$355.94,89441520,$345.00,$358.69,$342.85
02/12/2025,$336.51,105382700,$329.94,$346.40,$329.12
02/11/2025,$328.50,118543400,$345.80,$349.37,$325.10
02/10/2025,$350.73,77514900,$356.21,$362.70,$350.51
02/07/2025,$361.62,70298260,$370.19,$380.55,$360.34
02/06/2025,$374.32,77918230,$373.03,$375.40,$363.18
02/05/2025,$378.17,57614720,$387.51,$388.39,$375.53
02/04/2025,$392.21,57072240,$382.63,$394.00,$381.40
02/03/2025,$383.68,93732120,$386.68,$389.17,$374.36
01/31/2025,$404.60,83568220,$401.53,$419.99,$401.34
01/30/2025,$400.28,98092880,$410.78,$412.50,$384.41
01/29/2025,$389.10,68033650,$395.21,$398.59,$384.48
01/28/2025,$398.09,48910680,$396.91,$400.59,$386.50
01/27/2025,$397.15,58125510,$394.80,$406.69,$389.00
01/24/2025,$406.58,56427150,$414.45,$418.88,$405.78
01/23/2025,$412.38,50690590,$416.06,$420.73,$408.95
01/22/2025,$415.11,60963340,$416.81,$428.00,$414.59
01/21/2025,$424.07,87320890,$432.64,$433.20,$406.31
01/17/2025,$426.50,94991430,$421.50,$439.74,$419.75
01/16/2025,$413.82,68335150,$423.49,$424.00,$409.13
01/15/2025,$428.22,81375460,$409.90,$429.80,$405.66
01/14/2025,$396.36,84565020,$414.34,$422.64,$394.54
01/13/2025,$403.31,67580490,$383.21,$403.79,$380.07
01/10/2025,$394.74,62287330,$391.40,$399.28,$377.29
01/08/2025,$394.94,73038810,$392.95,$402.50,$387.40
01/07/2025,$394.36,75699530,$405.83,$414.33,$390.00
01/06/2025,$411.05,85516530,$423.20,$426.43,$401.70
01/03/2025,$410.44,95423330,$381.48,$411.88,$379.45
01/02/2025,$379.28,109710700,$390.10,$392.73,$373.04
12/31/2024,$403.84,76825120,$423.79,$427.93,$402.54
12/30/2024,$417.41,64941010,$419.40,$427.00,$415.75
12/27/2024,$431.66,82666820,$449.52,$450.00,$426.50
12/26/2024,$454.13,76651210,$465.16,$465.33,$451.02
12/24/2024,$462.28,59551750,$435.90,$462.78,$435.14
12/23/2024,$430.60,72698060,$431.00,$434.51,$415.41
12/20/2024,$421.06,132216200,$425.51,$447.08,$417.64
12/19/2024,$436.17,118566100,$451.88,$456.36,$420.02
12/18/2024,$440.13,149340800,$466.50,$488.54,$427.01
12/17/2024,$479.86,131223000,$475.90,$483.99,$457.51
12/16/2024,$463.02,114083800,$441.09,$463.19,$436.15
12/13/2024,$436.23,89000160,$420.00,$436.30,$415.71
12/12/2024,$418.10,87752230,$424.84,$429.30,$415.00
12/11/2024,$424.77,104287600,$409.70,$424.88,$402.38
12/10/2024,$400.99,97563580,$392.68,$409.73,$390.85
12/09/2024,$389.79,96359170,$397.61,$404.80,$378.01
12/06/2024,$389.22,81455830,$377.42,$389.49,$370.80
12/05/2024,$369.49,81403570,$359.87,$375.43,$359.50
12/04/2024,$357.93,50810870,$353.00,$358.10,$348.60
12/03/2024,$351.42,58267200,$351.80,$355.69,$348.20
12/02/2024,$357.09,77986480,$352.38,$360.00,$351.15
11/29/2024,$345.16,37167620,$336.08,$345.45,$334.65
11/27/2024,$332.89,57896440,$341.80,$342.55,$326.59
11/26/2024,$338.23,62295860,$341.00,$346.96,$335.66
11/25/2024,$338.59,95890900,$360.14,$361.93,$338.20
11/22/2024,$352.56,89140720,$341.09,$361.53,$337.70
11/21/2024,$339.64,58011720,$343.81,$347.99,$335.28
11/20/2024,$342.03,66340650,$345.00,$346.60,$334.30
11/19/2024,$346.00,88852450,$335.76,$347.38,$332.75
11/18/2024,$338.74,126547500,$340.73,$348.55,$330.01
11/15/2024,$320.72,114440300,$310.57,$324.68,$309.22
11/14/2024,$311.18,120726100,$327.69,$329.98,$310.37
11/13/2024,$330.24,125405600,$335.85,$344.60,$322.50
11/12/2024,$328.49,155726000,$342.74,$345.84,$323.31
11/11/2024,$350.00,210521600,$346.30,$358.64,$336.00
11/08/2024,$321.22,204782800,$299.14,$328.71,$297.66
11/07/2024,$296.91,117309200,$288.89,$299.75,$285.52
11/06/2024,$288.53,165228700,$284.67,$289.59,$275.62
11/05/2024,$251.44,69282510,$247.34,$255.28,$246.21
11/04/2024,$242.84,68802350,$244.56,$248.90,$238.88
11/01/2024,$248.98,57544760,$252.04,$254.00,$246.63
